Título,Tipo de Propiedad,Dirección,Zona,Número de Ambientes,Dormitorios,Número de Baños,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicación
Depto 3 Ambientes Al Frente. • 2 Balcones • Excelente Estado,"Departamento - Departamento
Tucumán al 3300, Almagro, CABA","Departamento - Departamento
Tucumán al 3300, Almagro, CABA",", Almagro, CABA",3 Ambientes,2 Dorm.,1 Baño,52 m² total,47 m² cubierto,USD 120.000,Expensas: $155,Publicado el 27/11/2024
"SAN NICOLAS,/2,AMBIENTES 6 PISO 33 ,metros; frente subte línea B","Departamento - Departamento
URUGUAY 385 CABA, San Nicolás, CABA","Departamento - Departamento
URUGUAY 385 CABA, San Nicolás, CABA",", San Nicolás, CABA",2 Ambientes,1 Dorm.,1 Baño,33 m² total,33 m² cubierto,USD 69.000,Expensas: USD 99.000,Publicado el 27/11/2024
Excelente Monoambiente Apto Profesional en Caballito Oportunidad,"Departamento - Departamento
Av La Plata y Venezuela, Caballito, CABA","Departamento - Departamento
Av La Plata y Venezuela, Caballito, CABA",", Caballito, CABA",1 Ambiente,1 Dorm.,1 Baño,18 m² total,18 m² cubierto,USD 42.000,Expensas: $29.000,Publicado el 27/11/2024
Monoambiente en Boedo Zona Comercial Apto Profesional Oportunidad,"Departamento - Departamento
Independencia y Boedo, Boedo, CABA","Departamento - Departamento
Independencia y Boedo, Boedo, CABA",", Boedo, CABA",1 Ambiente,1 Dorm.,1 Baño,28 m² total,28 m² cubierto,USD 43.500,Expensas: $45.600,Publicado el 27/11/2024
Venta Departamento De 3 Ambientes Con Balcón En Palermo Apto Profesional,"Departamento - Departamento
Cordoba al al 3600, Palermo, CABA","Departamento - Departamento
Cordoba al al 3600, Palermo, CABA",", Palermo, CABA",3 Ambientes,2 Dorm.,1 Baño,51 m² total,49 m² cubierto,USD 115.000,Expensas: $8500,Publicado el 27/11/2024
"Ph.frente-amplios 5 Amb-patio Cubierto, Techo Corredizo 6 X 5-lavadero Independiente- Ba&ntilde;o Completo Y Ante-ba&ntilde;o-","Departamento
Echeandia al 5600, Villa Lugano, CABA","Departamento
Echeandia al 5600, Villa Lugano, CABA",", Villa Lugano, CABA",5 Ambientes,4 Dorm.,2 Baños,110 m² total,80 m² cubierto,USD 119.000,Expensas: USD 100.000,Publicado el 27/11/2024
B&deg; Copello-dto.4 Amb.frente-muy Luminoso-2 Ba&ntilde;os-lavadero-balcon Corrido-impecable Estado. 863873,"Departamento
Avda. Dellepiane Norte 4961 T.3 8° A al 0, Villa Lugano, CABA","Departamento
Avda. Dellepiane Norte 4961 T.3 8° A al 0, Villa Lugano, CABA",", Villa Lugano, CABA",4 Ambientes,3 Dorm.,2 Baños,71 m² total,67 m² cubierto,USD 75.000,No especificado,Publicado el 27/11/2024
Excelente Depto 2 amplios amb. Cocina independiente-Patio 18 Mts.2-Cochera cubierta,"Departamento
Ordoñez al 5800, Villa Lugano, CABA","Departamento
Ordoñez al 5800, Villa Lugano, CABA",", Villa Lugano, CABA",2 Ambientes,1 Dorm.,1 Baño,63 m² total,43 m² cubierto,USD 125.000,No especificado,Publicado el 27/11/2024
Departamento 2 Ambientes Venta Villa Urquiza,"Departamento
Ávalos al 2100, Villa Urquiza, CABA","Departamento
Ávalos al 2100, Villa Urquiza, CABA",", Villa Urquiza, CABA",2 Ambientes,1 Dorm.,1 Baño,45 m² total,45 m² cubierto,USD 190.000,No especificado,Publicado el 27/11/2024
"VENTA DEPARTAMENTO 3 AMBIENTES , ZONA SAN TELMO.","Departamento - Departamento
Estados Unidos al 800, San Telmo, CABA","Departamento - Departamento
Estados Unidos al 800, San Telmo, CABA",", San Telmo, CABA",3 Ambientes,2 Dorm.,1 Baño,58 m² total,54 m² cubierto,USD 115.000,No especificado,Publicado el 27/11/2024
