Ti­tulo,Tipo de Propiedad,Zona,Numero de Areas,Dormitorios,Numero de Banos,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicacion
Departamento - Venta - Capital Federal,Departamento,Abasto,3,2,2,78,74,"$197,567","$80,000",27/11/2024
Departamento - Venta - Capital Federal,Departamento,Abasto,3,2,2,71,62,"$195,000","$106,966",20/11/2024
2 ambientes con terraza propia - TORRES ABASTO,Departamento,Abasto,2,1,1,73,37,"$110,000",$0,13/11/2024
Departamento en venta de 4 ambientes en Núñez,Departamento,Abasto,4,3,2,105,95,"$366,000",$0,05/11/2024
Departamento 3 ambientes venta Agronomí­a,Departamento,Agronomí­a,3,2,1,59,59,"$110,000","$37,000",16/10/2024
Departamento 2 Ambientes totalmente Renovado.,Departamento,Agronomí­a,2,1,1,64,60,"$93,000","$130,000",15/10/2024
2 Ambientes Super Luminoso Con Increí­bles Vistas!,Departamento,Agronomí­a,2,1,1,37,35,"$65,000",$0,14/10/2024
Departamento En Agronomí­a Lateral De 2ambientes En Excelente Ubicación,Departamento,Agronomí­a,2,1,1,39,36,"$67,000",$0,15/10/2024
Hermoso 2 Ambientes En Pleno Agronomia,Departamento,Agronomí­a,2,1,1,34,34,"$79,000",$0,21/10/2024
Hermoso 2 Ambientes En Pleno Agronomia,Departamento,Agronomí­a,2,1,1,34,34,"$79,000",$0,08/10/2024
Departamento 3 Ambientes Venta Agronomí­a,Departamento,Agronomí­a,3,2,1,59,59,"$110,000",$0,12/11/2024
AGRONOMIA - VENTA - 3 AMB. C/2 COCHERAS !!,Departamento,Agronomí­a,3,2,2,61,54,"$199,000",$0,24/09/2024
"Casa Estilo Ingles, 5 Amb. Jardí­n, Patio, Y Parrilla.",Casa,Agronomí­a,5,4,1,220,190,"$345,000",$0,06/11/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,2,1,1,30,30,"$58,500",$60,21/11/2024
Depto 3 Ambientes Al Frente. - 2 Balcones - Excelente Estado,Departamento,Almagro,3,2,1,52,47,"$120,000",$155,27/11/2024
Departamento en venta - Almadro - 3 ambientes - Amenities,Departamento,Almagro,3,2,2,61,58,"$138,000","$33,500",04/10/2024
"(Almagro,Monoambiente,Oportunidad Inversión,/Contrafrente)(excelente-estado/ubicación,reciclado a nuevo,",Departamento,Almagro,1,1,1,25,25,"$59,000","$50,000",19/11/2024
DEPARTAMENTO 2 AMBIENTES AMPLIOS CON BALCON,Departamento,Almagro,2,1,1,41,40,"$74,000","$55,000",25/11/2024
PH 4 AMBIENTES + ESCRITORIO + TERRAZA CON PLAYROOM - 1ER PIS,Departamento,Almagro,6,5,2,220,180,"$145,000","$90,000",24/09/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,4,3,2,148,128,"$285,000","$90,000",20/11/2024
Departamento en venta de 1 dormitorio en Almagro,Departamento,Almagro,2,1,1,53,47,"$127,082","$93,000",31/10/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,3,2,1,65,57,"$155,000","$122,000",22/11/2024
Depto. 3 Amb en Venta - Zona Almagro,Departamento,Almagro,3,2,1,77,77,"$144,000","$128,000",20/11/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,3,2,1,71,62,"$165,000","$138,000",08/10/2024
"Hermoso departamento de 3 ambientes con cochera, Balcón se vende amueblado",Departamento,Almagro,3,2,1,63,60,"$165,000","$150,000",26/11/2024
Excelente departamento de tres ambientes con cochera y baulera,Departamento,Almagro,3,2,1,53,49,"$124,000","$170,000",05/11/2024
Venta Departamento 2 Ambientes con Balcón. Almagro,Departamento,Almagro,2,1,1,52,49,"$89,900","$433,000",22/10/2024
"DEPARTAMENTO 2 AMBIENTES - ALMAGRO, CAPITAL FEDERAL",Departamento,Almagro,2,1,1,49,41,"$130,500","$540,000",26/11/2024
Valentí­n Gómez 3500 Almagro 2amb U$64.900,Departamento,Almagro,2,1,1,37,35,"$64,900",$0,04/10/2024
Venta Departamento 2 ambientes,Departamento,Almagro,2,1,1,33,33,"$65,000",$0,11/11/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,3,2,1,55,55,"$70,000",$0,07/11/2024
DOS AMBIENTES- LUMINOSO- ALMAGRO,Departamento,Almagro,2,1,1,40,40,"$75,000",$0,23/10/2024
Humahuaca 4300 Almagro 2amb U$83.000,Departamento,Almagro,2,1,1,48,43,"$83,000",$0,03/10/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,3,2,1,47,47,"$90,000",$0,08/11/2024
IMPECABLE MONOAMBIENTE CON BALCON EN ALMAGRO,Departamento,Almagro,1,1,1,33,31,"$95,000",$0,26/11/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,2,1,1,43,36,"$98,500",$0,22/11/2024
Excelente Departamento de categorí­a de Tres Ambientes,Departamento,Almagro,3,2,1,53,49,"$99,000",$0,11/11/2024
Venta departamento 2 ambientes en almagro,Departamento,Almagro,2,1,2,50,48,"$129,900",$0,08/10/2024
Departamento en venta de 3 ambientes c/dependencia o 3° dormitorio en Almagro,Departamento,Almagro,3,3,2,84,73,"$130,000",$0,14/10/2024
Amplio y Luminoso 2 Ambientes - Una propuesta Innovadora -,Departamento,Almagro,2,1,2,60,52,"$137,900",$0,04/10/2024
Rawson 351 full amenities,Departamento,Almagro,2,1,2,53,50,"$139,900",$0,14/11/2024
Gascón 700 Almagro 2amb U$149.000,Departamento,Almagro,2,1,1,60,58,"$149,000",$0,22/11/2024
"Venta de PH 4 AMBIENTES en ALMAGRO, Capital Federal",Departamento,Almagro,4,3,1,113,93,"$155,000",$0,12/11/2024
Excelente 3 amb piso alto,Departamento,Almagro,3,2,1,64,64,"$158,000",$0,28/10/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,3,2,1,79,65,"$173,800",$0,28/10/2024
Departamento de 3 ambientes en Venta Almagro,Departamento,Almagro,3,2,2,68,63,"$180,000",$0,04/10/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,3,2,2,89,60,"$199,000",$0,05/11/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,3,2,2,89,60,"$199,000",$0,31/10/2024
Departamento - Venta - Capital Federal,Departamento,Almagro,4,3,2,84,75,"$219,000",$0,16/10/2024
ESPECTACULAR PH 4 AMB AMPLIOS - RECILADO - ALMAGRO,Departamento,Almagro,4,3,2,290,142,"$238,000",$0,31/10/2024
Venta 5 Amb Dependencia Cochera Baulera en Almagro,Departamento,Almagro,5,4,4,195,174,"$250,000",$0,09/10/2024
Rocamora 4200 Almagro PH 7 ambientes U$350.000,Departamento,Almagro,7,6,3,346,172,"$350,000",$0,03/10/2024
APTO PROFESIONAL DOS AMBIENTES PB,Departamento,Almagro Norte,2,1,1,34,31,"$65,000",$50,09/10/2024
Tucuman Al 3775 Piso 13 F Departamento Venta De 2 Ambientes Muy Luminosos Vista Panoramica,Departamento,Almagro Norte,2,1,1,27,27,"$57,000","$65,000",25/10/2024
2 Amb Luminoso C/lavadero! Almagro,Departamento,Almagro Norte,2,1,1,37,35,"$69,000","$77,000",26/11/2024
Excelente 2 Ambientes Super Luminoso En Almagro,Departamento,Almagro Norte,2,1,1,39,39,"$98,000","$80,000",26/11/2024
Departamento En Almagro,Departamento,Almagro Norte,2,1,1,42,42,"$68,000","$97,000",05/11/2024
Departamento Dos ambientes en venta. Almagro U$s 80000,Departamento,Almagro Norte,2,1,1,35,35,"$78,000","$170,000",25/09/2024
Departamento 2 Ambientes Al Frente En Almagro,Departamento,Almagro Norte,2,1,1,60,55,"$110,000","$230,000",27/09/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,25,25,"$47,000",$0,15/10/2024
"Humahuaca 3700, Emprendimiento En Pozo, Monoambiente Conn Patio En Pb, Categoria, Almagro, Subte B",Departamento,Almagro Norte,2,1,1,25,18,"$55,000",$0,24/11/2024
2 Ambientes En Almagro Rawson Y Rivadavia,Departamento,Almagro Norte,2,1,1,36,36,"$55,000",$0,30/10/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,37,37,"$58,000",$0,08/11/2024
"Oportunidad Departamento Tipo Ph, 2 Ambientes A Reciclar En Almagro, Bajas Expensas",Departamento,Almagro Norte,2,1,1,38,38,"$58,000",$0,28/10/2024
Departamento En Venta De 2 Ambientes En Almagro,Departamento,Almagro Norte,2,1,1,32,32,"$62,000",$0,14/10/2024
Departamento - Almagro,Departamento,Almagro Norte,2,1,1,30,30,"$63,000",$0,24/09/2024
Departamento - Almagro,Departamento,Almagro Norte,2,1,1,45,45,"$63,000",$0,01/10/2024
"Lambare 900, Departamento 2 Ambientes Con Balcón, Oportunidad, Subte B, Almagro",Departamento,Almagro Norte,2,1,1,38,36,"$64,900",$0,18/10/2024
Departamento - Almagro,Departamento,Almagro Norte,2,1,1,30,28,"$65,000",$0,19/11/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,36,36,"$65,000",$0,16/11/2024
Venta Depto. 2 Ambientes Con Patio,Departamento,Almagro Norte,2,1,1,45,39,"$65,000",$0,15/11/2024
"2 Amb. Ph Caballito, Av. Jose M. Moreno 100. Vista A Jardin",Departamento,Almagro Norte,2,1,1,40,40,"$69,000",$0,30/09/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,48,42,"$73,000",$0,18/10/2024
Departamento En Almagro,Departamento,Almagro Norte,2,1,1,34,34,"$75,000",$0,20/11/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,35,35,"$75,000",$0,18/10/2024
Departamento En Venta De 1 Dormitorio En Almagro,Departamento,Almagro Norte,2,1,1,51,39,"$75,000",$0,14/11/2024
